tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
8507,NA,ABLA,1.9,-,T,1.8,2.0,-,C,2,S,A,S,BW 20% red,-,90,100,0,Y,-,,2026-08-08,,,
8508,NA,ABLA,1.9,-,T,1.9,1.9,-,C,3,S,A,S,BW,-,100,100,0,Y,-,,2026-08-08,,,
8509,NA,PIEN,6.4,6.7,H,10.5,-,-,T,2,S,A,S,beetles,-,90,90,0,N,-,shedding bark,2026-08-08,,pct_crown,"% Crown looks like 70 written over 90 - entered 90, confirm"
8510,NA,PIEN,10.6,10.9,H,18.4,-,-,T,3,I,D,S,"beetle holes, sappy, crack",-,0,0,0,-,-,,2026-08-08,,,
8511,NA,PICO,17.3,17.5,H,30.5,-,-,T,4,C,A,S,bark beetles 60% red,-,80,80,0,Y,2,will likely die soon to bark beetles,2026-08-08,,,
8512,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8513,NA,ABLA,,,,NA,,,,,,D,B,,,,,,,,,2026-08-08,Y,,
8514,NA,PIEN,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8515,NA,PIEN,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8516,NA,PIEN,12.3,12.9,H,16.3,16.9,-,T,4,I,A,S,"beetle holes, sappy, crack",-,100,90,0,N,-,DBH measured above and below nail,2026-08-08,,,
8517,NA,PIEN,11.4,11.0,H,16.6,-,-,T,3,I,A,S,sappy BW,-,100,80,0,Y,-,,2026-08-08,,,
8518,NA,ABLA,14.9,14.9,H,26.9,-,-,T,3,C,A,S,10% yellow,-,70,90,0,Y,1,,2026-08-08,,,
8519,NA,ABLA,1.9,-,T,1.7,1.7,-,C,2,S,A,S,BW 10% red,-,100,100,0,Y,-,,2026-08-08,,,
8520,NA,ABLA,5.6,5.4,H,7.2,-,-,T,3,S,A,S,BW,-0.2,100,90,0,Y,-,dead at top,2026-08-08,,living_length,"Living_Length reads 0.2 with a dash in front (-0.2) - entered -0.2, confirm"
8521,NA,ABLA,2.5,-,T,3.4,3.4,-,C,1,S,A,S,BW,-,100,90,0,Y,-,shares base with 8520,2026-08-08,,,
8522,NA,PIEN,8.9,8.7,H,13.5,-,-,T,2,I,A,S,-,-,80,70,0,N,1,flaking bark,2026-08-08,,,
8523,NA,PICO,20.3,20.5,H,41.5,-,-,T,4,C,A,S,sappy,-,70,70,0,N,-,,2026-08-08,,comment,Pre-printed comment '4 leaders' has a check mark next to it - not entered; confirm whether it should be
8524,NA,PICO,12.7,13.1,H,19.6,-,-,T,2,I,A,S,20% red,-,60,70,0,Y,-,,2026-08-08,,,
8525,NA,ABLA,1.8,-,T,1.9,2.0,-,C,1,S,A,S,BW,-,100,100,0,Y,-,light BW,2026-08-08,,,
8526,NA,PICO,15.9,16.1,H,25.8,-,-,T,3,I,A,S,sappy,-,90,90,0,N,-,,2026-08-08,,,
8527,NA,PIEN,16.3,16.5,H,20.3,-,-,T,3,C,A,S,sappy,-,100,80,0,N,-,,2026-08-08,,,
8528,NA,ABLA,11.6,11.6,H,16.5,-,-,T,2,I,A,S,sappy BW,-,20,80,0,Y,1,,2026-08-08,,,
8529,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8530,NA,PIEN,9.4,9.2,H,11.4,-,-,T,1,S,A,S,sappy,-,80,80,0,N,-,,2026-08-08,,,
8531,NA,PIEN,11.3,11.5,H,14.3,-,-,T,2,I,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8532,NA,ABLA,,,,NA,,,,,,D,L,,,,,,,,,2026-08-08,Y,,
8533,NA,PIEN,1.6,-,T,1.8,1.6,-,C,1,S,A,L,BW,-,90,90,20,Y,1,tree fallen on it,2026-08-08,,,
8534,NA,PIEN,14.4,14.7,H,19.6,-,-,T,3,I,A,S,sappy,-,100,100,0,N,-,,2026-08-08,,pct_crown,"% Crown / % Leaves have extra marks (look like 105 / 200) - entered 100 / 100, confirm"
8535,NA,PIEN,6.7,6.9,H,11.5,-,-,T,2,S,A,S,BW,5.8/5.6,70,80,0,Y,-,,2026-08-08,,living_length,Two living-length values circled together (5.8 / 5.6) - kept both
8536,NA,PICO,9.7,9.8,H,8.3,-,-,T,2,I,A,S,-,-,80,90,0,N,2,burl - dead top,2026-08-08,,height1,"Height_1 overwritten (8.7 / 9.7) - entered 9.7, confirm"
8537,NA,ABLA,12.1,12.5,H,16.9,-,-,T,3,I,A,S,BW,10.4/10.9,80,90,0,Y,1,dead top,2026-08-08,,living_length,Two living-length values circled together (10.4 / 10.9) - kept both
8538,NA,ABLA,3.5,-,T,4.9,4.9,-,C,2,S,A,S,5% yellow,3.4,70,70,0,Y,-,dead top,2026-08-08,,dbh1,"DBH_1 overwritten (looks like 4.9 over 4.7) - entered 4.9, confirm"
8539,NA,PICO,18.6,18.9,H,18.2,-,-,T,4,C,A,S,-,-,80,80,0,N,-,shares base with 8540,2026-08-08,,,
8540,NA,PICO,17.9,18.2,H,17.9,-,0.2,T,4,C,A,S,-,-,70,80,0,N,-,shares base with 8539; measured at nail,2026-08-08,,,
8541,NA,PICO,17.8,17.7,H,29.2,-,-,T,2,I,A,S,-,-,100,90,0,N,2,2 leaders; split just above DBH,2026-08-08,,,
8542,NA,ABLA,2.1,-,T,2.5,2.6,-,C,1,S,A,S,BW,-,100,100,0,Y,-,,2026-08-08,,,
8543,NA,PICO,17.3,17.4,H,22.6,-,-,T,3,I,A,S,sappy,-,90,90,0,N,-,,2026-08-08,,,
8544,NA,PICO,16.6,17.0,H,18.8,-,-,T,3,I,A,L,10% red,-,100,80,5,N,-,,2026-08-08,,,
8545,NA,PICO,15.7,16.2,H,21.2,-,-,T,4,I,A,S,sappy,-,90,70,0,N,1,,2026-08-08,,,
8546,NA,PIEN,4.3,-,T,6.6,-,-,T,1,S,A,S,10% red,-,80,70,0,N,4,,2026-08-08,,row,"Row is messy (overwritten crown 60/80, faint mode, Wounded_Trunk reads 4) - entered as read, confirm"
8547,NA,ABLA,8.8,8.7,H,12.6,-,-,T,1,I,A,S,-,-,90,90,0,N,-,,2026-08-08,,,
8548,NA,PICO,21.7,21.3,H,38.4,-,-,T,5,D,A,S,2% red,-,100,90,0,N,1,bent at base,2026-08-08,,,
8549,NA,PICO,17.8,18.2,H,24.8,-,-,T,4,I,A,S,-,-,80,90,0,N,-,curved trunk,2026-08-08,,,
8550,NA,PIEN,8.4,8.5,H,13.9,-,-,T,2,I,A,S,-,-0.1,90,90,0,N,-,dead top,2026-08-08,,living_length,Living_Length is negative (-0.1) - confirm
8551,NA,PIEN,8.9,8.5,H,12.6,-,-,T,2,I,A,S,-,-,100,80,0,N,-,,2026-08-08,,,
8552,NA,PIEN,12.3,11.1,H,14.7,-,-,T,2,I,A,S,-,-,90,90,0,N,-,,2026-08-08,,,
